original,Error,Corrected
ගල්හේනගේ,ගල්හේනගේ,ගල්හේනගේ
ශ්‍රියානි,ශ්‍රියානි,ශ්‍රියානි
සමෝද්යා,සමෝදයා,සමෝදයා
ඉල්ලියාස්,ඞඉේලියාස්,ඞඉේලියාස්
විතානගේ,චිතානගේ,චිතානගේ
ප්‍රතිභා,ප්‍රතිභා,ප්‍රතිභා
හමීඩ්,හම්ඩවි,හම්ඩවි
හේනයලාගේ,හේනයලාගේ,හේනයලාගේ
ඉශංකා,ඞඔශෙංකා,ඞඔශෙංකා
වෙදරාලගේ,වෙදරාලගේ,වෙදරාලගේ
රණතුංග,රණතුංග,රණතුංග
බුලත්වැලගෙදර,බුලත්වැලගෙදර,බුලත්වැලගෙදර
මාරසිංහ,මාරසිංහ,මාරසිංහ
නිමාලිකා,ඞනිමාලිකා,ඞනිමාලිකා
කුමාරදාසගේ,කුමාරදාසගේ,කුමාරදාසගේ
කංකානමලාගේ,කංකානමලාගේ,කංකානමලාගේ
ෂලනි,පලනි,පලනි
කාංචනා,කාංචනා,කාංචනා
කාන්තිවතී,කාන්නිචවතී,කාන්නිචවතී
ගුණවර්ධන,ගුණවර්ධන,ගුණවර්ධන
චන්දිම,චන්දිම,චන්දිම
හාලිරා,නොලිරා,නොලිරා
හේන්පිටගේ,හේන්පිටගේ,හේන්පිටගේ
මනුජ,මනුජු,මනුජු
කංකානමලාගේ,කංකානමලාගේ,කංකානමලාගේ
සඳමාලි,සඳමාලි,සඳමාලි
අයිවන්,අයිවන්,අයිවන්
චන්ද්‍රසිරි,චන්ද්‍රසිර්,චන්ද්‍රසිර්
අසුරුල්,අයුරුල්,අයුරුල්
ගයාන්,ගයාන්,ගයාන්
කුමාරි,කුමාර්,කුමාර්
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
තොමරාසන්,තභොමරාසන්,තභොමරාසන්
රොහාන්,රොහාන්,රොහාන්
මදනායක,මදනායක,මදනායක
සුමිත්‍ත්‍රා,සඇසුම්ත්ටර්‍රා,සඇසුම්ත්ටර්‍රා
වනිගසූරිය,වනිගසූරය,වනිගසූරය
පීරිස්,පිට්ස්,පිට්ස්
ලක්‍ෂමී,ඞලක්ෂමේ,ඞලක්ෂමේ
මිනෝන්,ඞමිීිනෝන්,ඞමිීිනෝන්
වීරකත්ති,ඞවචීරකත්ති,ඞවචීරකත්ති
රත්නායක,රත්නායක,රත්නායක
වත්තලගේ,චත්තලගේ,චත්තලගේ
මොහම්මඩ්,මොහම්මඩ්,මොහම්මඩ්
කාංචනා,කාංචනා,කාංචනා
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
නිල්මිණි,නිල්මිනි,නිල්මිනි
විජයලත්ගේ,විජයලත්ගේ,විජයලත්ගේ
මොහමඩ්,මොනමඩ්,මොනමඩ්
සවින්ද,සච්න්ථ්‍ර,සච්න්ථ්‍ර
දිලිනි,දිලිනි,දිලිනි
කස්තුරි,කස්තරු,කස්තරු
වන්නිආරච්චිගේ,වන්නිආරච්චිගේ,වන්නිආරච්චිගේ
තරංගා,ඞනරංගා,ඞනරංගා
සලීම්,සලීම්,සලීම්
අතලේ,ඞඅතලේ,ඞඅතලේ
මධුසංඛ,ඞමධුසංඞඛ,ඞමධුසංඞඛ
ක්‍රෙෂාන්,ක්‍රෙෂාන්,ක්‍රෙෂාන්
නදීකා,නදළබා,නදළබා
ගමගේ,ඞගමගේ,ඞගමගේ
මංජුල,ඞමංජුළලු,ඞමංජුළලු
නාගයියා,නාගයියා,නාගයියා
රාමර්,රාම්,රාම්
නන්ද,නන්ද,නන්ද
ප්‍රනාන්දු,ප්‍රනාන්ද්‍ර,ප්‍රනාන්ද්‍ර
තොම්මගේ,තොම්මගේ,තොම්මගේ
ප්‍රදීප්,පුදිජි,පුදිජි
පතිරගේ,පතිරගේ,පතිරගේ
ගෙදර,ගෙදර,ගෙදර
සංජීව,සංපීව්,සංපීව්
ශිරෝමි,ඉශිරෝම්,ඉශිරෝම්
ලේකමලාගේ,ලේකමලාගේ,ලේකමලාගේ
මොහමඩ්,මොහමඩ්,මොහමඩ්
හේරත්,ඞහනේරත්,ඞහනේරත්
වික්‍රමසිංහ,වික්‍රමසිංහ,වික්‍රමසිංහ
මුදියන්සේලාගේ,මුද්‍රයන්සේලාගේ,මුද්‍රයන්සේලාගේ
ඉන්ද්‍රා,මන්දා,මන්දා
ගාල්ලාගේ,ගාල්ලාගේ,ගාල්ලාගේ
ගෝබිගා,ඞගෝබගා,ඞගෝබගා
ප්‍රබෝධ,ප්‍රබෝධ,ප්‍රබෝධ
ලහිරු,ලහිරු,ලහිරු
චමින්ද,චම්න්දු,චම්න්දු
චන්ද්‍රසේකර,චන්දුසේකර,චන්දුසේකර
නන්දනී,ේඞනන්දනී,ේඞනන්දනී
ගමගේ,ගමගේ,ගමගේ
චන්ද්‍රේශ්වරී,චන්දේශ්වර්,චන්දේශ්වර්
ආචාරිගේ,ආචාරදගේ,ආචාරදගේ
මල්මාලබදුගේ,මල්මාලබදුගේ,මල්මාලබදුගේ
වෙදලැ,වෙලද,වෙලද
යද්දෙහි,යද්දෙනි,යද්දෙනි
සරත්,සරත්,සරත්
කුමාර,කුමාර,කුමාර
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
ජයංක,පිලත්,පිලත්
මනන්නලාගේ,මනන්නලාගේ,මනන්නලාගේ
නිසංසලා,නිසංසලා,නිසංසලා
විතාරමලාගේ,චිතාරමලාගේ,චිතාරමලාගේ
ගයනි,ගයනි,ගයනි
කෝරළගේ,කෝරළගේ,කෝරළගේ
කොන්පුටුගොඩගේ,කොන්පුටුගොඩගේ,කොන්පුටුගොඩගේ
තවරාජන්,බවරාජන්,බවරාජන්
හෙට්ටි,ඞභෙට්ට්ි,ඞභෙට්ට්ි
වියන,වියන,වියන
හල්ලුවේ,ඞසහල්ලූවේ,ඞසහල්ලූවේ
ෆාරියා,ෆාර්යා,ෆාර්යා
බණ්ඩාර,බණ්ඩාර,බණ්ඩාර
බංඩාර,බංඩාර,බංඩාර
සෆ්රි,සෆ්රා,සෆ්රා
රන්චපුරගේ,රන්චපුරගේ,රන්චපුරගේ
පියතිලක,පියතිලක,පියතිලක
මොහමඩ්,මොහමඩ්,මොහමඩ්
කෝරලගේ,කෝරලගේ,කෝරලගේ
හල්නෙත්ති,තල්නෙන්ති,තල්නෙන්ති
අයිදුරුස්,අසයිදුරැස්,අසයිදුරැස්
පුෂ්ප,පුෂ්ග,පුෂ්ග
දිනේෂ්,දිනේෂ්,දිනේෂ්
තිරුචෙල්වම්,නිරැචෙල්වම්,නිරැචෙල්වම්
වීරසූරිය,චිරසූර්ය,චිරසූර්ය
කුමාරි,කුමාර්,කුමාර්
අරුන්කුමාර්,අරුන්කුමාර්,අරුන්කුමාර්
බංඩාර,බංඩාර,බංඩාර
රමිදු,එම්දු,එම්දු
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
අදස්සූරිය,අදස්සූරය,අදස්සූරය
මධුශංක,මධුශංක,මධුශංක
බානගල,බානනගගු,බානනගගු
ගුණරත්න,ගුණරන්න,ගුණරන්න
රාමනායක,රාමනායක,රාමනායක
ජයසූරිය,පයයූරය,පයයූරය
නිරෝෂනී,නිරෝෂනී,නිරෝෂනී
ඉහල,හෙ,හෙ
තාජුදීන්,ඞතාරුදීන්,ඞතාරුදීන්
හේරත්හාමිගේ,හේරත්හාමිගේ,හේරත්හාමිගේ
දසනායක,දසනායක,දසනායක
වික්‍රමවර්ධන,චික්‍රමවර්ධන,චික්‍රමවර්ධන
කසුනි,බසුනිං,බසුනිං
කුමුදු,කමුදු,කමුදු
සුබයිර්,සුබයිරි,සුබයිරි
පිටගම්පොලගේ,පිටගම්පොලගේ,පිටගම්පොලගේ
ලයනල්,ලයනල්,ලයනල්
ආරච්චිලාගේ,ආරච්චිලාගේ,ආරච්චිලාගේ
මොහමඩ්,මොහමඩ්,මොහමඩ්
පීල්ලලාගේ,පිීල්ලලාගේ,පිීල්ලලාගේ
අරපුලි,අරපුලි,අරපුලි
සුනේත්‍රා,සුනේත්‍රාං,සුනේත්‍රාං
උඩගෙදරයලාය,උඩගෙදරයලාය,උඩගෙදරයලාය
හේමන්ත,හේමන්ත,හේමන්ත
ජයසේකර,ජයසේකර,ජයසේකර
තත්සර,තත්සර,තත්සර
රත්නායක,රත්නායක,රත්නායක
‍ප්‍රියන්ත,ඞප්‍රියන්න,ඞප්‍රියන්න
තාරක,තාරක,තාරක
අකුරුකලවිටගේ,අකුරැකලවිටගේ,අකුරැකලවිටගේ
සෆ්රීන්,යසෆ්වන්,යසෆ්වන්
කපුවාගේ,කපුවාගේ,කපුවාගේ
රඩ්ණවරතන්,රඬඩ්ණවරතනන්,රඬඩ්ණවරතනන්
කුමාරි,කුමාර,කුමාර
සද්ධාතිලක,සද්ධාතිලක,සද්ධාතිලක
රාමර්,රාමර්,රාමර්
තුෂාරි,බාර,බාර
ලොකුලියනගේ,ලොකුලියනගේ,ලොකුලියනගේ
කුඹුරේ,කුඹුරේ,කුඹුරේ
හසිත,නසිබ,නසිබ
පතිරන්නැහැලාගේ,පතිරන්නැහැලාගේ,පතිරන්නැහැලාගේ
නාරායන,නාරායයා,නාරායයා
කරුණාසේන,කරුණාසේන,කරුණාසේන
මානෙල්,මානෙල්,මානෙල්
පියංකර,පියංකර,පියංකර
කුමාරසිරි,කුමාරසිරි,කුමාරසිරි
තිසර,තිසර,තිසර
චාන්දනී,චාන්දන්,චාන්දන්
අප්පුගේ,අර්පුගේ,අර්පුගේ
පටබැඳිගේ,පටබැඳිගේ,පටබැඳිගේ
මුහමඩ්,මුහමඩ්ි,මුහමඩ්ි
පට්ටිය,අට්ට්ය,අට්ට්ය
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
උක්කුවා,උඛ්කචා,උඛ්කචා
සමීර,සමිර,සමිර
උබයිදුල්ලා,උබයිදුල්ලා,උබයිදුල්ලා
සුමිත්,සුමිත්,සුමිත්
කාවින්ද,ඞකාචින්ද,ඞකාචින්ද
ජයසිංහ,ජයසිංහ,ජයසිංහ
රුවන්තිකා,රැචන්නිකා,රැචන්නිකා
උදයංග,උටයාංග,උටයාංග
මාගම්මන,මාගම්මන,මාගම්මන
වත්සලා,වත්සලා,වත්සලා
පෙරුමලාගේ,පෙරැමලාගේ,පෙරැමලාගේ
ගිහාන්,ගිනාන්,ගිනාන්
කුමාරගමගේ,කුමාරගමගේ,කුමාරගමගේ
සිරිසේන,සිරිසේන,සිරිසේන
අනුර,අනුර,අනුර
වික්‍රම,විටම,විටම
පන්නිල,ඞඝපන්නිල,ඞඝපන්නිල
මංගලිකා,මංගලිකා,මංගලිකා
සොමිරත්න,සොම්රත්න,සොම්රත්න
නිර්මාන්,නිර්මාන්,නිර්මාන්
අප්පුවාදුර,අප්පුවාදුඋරට,අප්පුවාදුඋරට
සුදම්,නසුදුම්,නසුදුම්
හිත්තැටියේ,හින්තැටියේ,හින්තැටියේ
රශිනි,රගිනි,රගිනි
හේවාගේ,ඞහේවාගේ,ඞහේවාගේ
ජයසක්,පයසක්,පයසක්
දිසානායක,දිසානායක,දිසානායක
අමිත,අමත,අමත
ඉදිපොලගේ,ඉදිපොලගේ,ඉදිපොලගේ
සුනේත්‍රා,ධදගඝසසුනේත්‍රා,ධදගඝසසුනේත්‍රා
පෙරේරා,ඞසඉපෙරේරා,ඞසඉපෙරේරා
කුමාරසිරි,කුූමාරසිථ,කුූමාරසිථ
පේඩිගේ,ඞපේඩිගේ,ඞපේඩිගේ
මොහමඩ්,මොහමඩ්,මොහමඩ්
නදුන්,චෛදුන්,චෛදුන්
බණ්ඩාර,සඈබණ්ඩාර,සඈබණ්ඩාර
ඉස්මත්,ඉස්මත්,ඉස්මත්
මායන්ඩි,ඛඞමායන්ඩි,ඛඞමායන්ඩි
බණ්ඩාර,ඞබණ්ඩාර,ඞබණ්ඩාර
දේශානි,ඞදේශානි,ඞදේශානි
අධිකාරි,අධිකාර්,අධිකාර්
නයනා,නයනා,නයනා
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
සාලිහු,සාලිනු,සාලිනු
පුෂ්පකුමාරි,පුෂ්පකුමාර,පුෂ්පකුමාර
වැඩුම්පුලි,වැඩුම්පුලි,වැඩුම්පුලි
චන්න,ච්න්න,ච්න්න
ගජේන්ද්‍ර,ඞගපජපේන්දු,ඞගපජපේන්දු
මල්කාන්ති,මල්කාන්ති,මල්කාන්ති
මින්නතුල්,ඞහම්න්නතුල්,ඞහම්න්නතුල්
පල්ලේහාගෙදර,පල්ලේහාගෙදර,පල්ලේහාගෙදර
අසංගිකා,අසංගිකා,අසංගිකා
මල්ලවගේ,මල්ලවගේ,මල්ලවගේ
මිල්රඩ්,මිල්රඩි,මිල්රඩි
ලියනගේ,ලියනගේ,ලියනගේ
කෞෂල්‍යා,කෞෂල්‍යා,කෞෂල්‍යා
කන්නන්ගර,කන්නන්ගර,කන්නන්ගර
ලක්මාල්,ලක්මාල්,ලක්මාල්
ගමගේ,ගමගේ,ගමගේ
ගෙදර,ගෙදර,ගෙදර
ධනංජනි,ධනංජනි,ධනංජනි
පතිරත්නගේ,පතිරත්නගේ,පතිරත්නගේ
අමරාපති,අමරාපති,අමරාපති
අත්තනායක,අත්තනායක,අත්තනායක
ප්‍රනාන්දු,ප්‍රනාන්දු,ප්‍රනාන්දු
බුද්ධික,බුද්ධිධ,බුද්ධිධ
රන්දිවල,ේසඈඇරන්ද්‍රවළතං,ේසඈඇරන්ද්‍රවළතං
සිල්වා,සිල්වා,සිල්වා
මාදන,මාදන,මාදන
නදිකා,නදිකා,නදිකා
සුබ්‍රායන්,සුබ්‍රායන්,සුබ්‍රායන්
දිල්හාරා,දිල්නාරා,දිල්නාරා
රාජපක්‍ෂ,රාජපක්පත,රාජපක්පත
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
කුමාර,කුමාර,කුමාර
රාමායි,උජරාමායි,උජරාමායි
සලුජ,සලුූල්,සලුූල්
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
දිසානායක,දිසානායක,දිසානායක
බමුණුරත්න,බමුණුරන්න,බමුණුරන්න
හබරකඩ,හබරකඩ,හබරකඩ
ලෙනගල,ලෙනගල,ලෙනගල
කුමාරි,කුමාර,කුමාර
රුක්මල්,රැක්මල්,රැක්මල්
බුද්ධික,බුද්ධික,බුද්ධික
සිංගරාසා,සිංගරාසා,සිංගරාසා
ආරියරත්න,ආදර්යරත්න,ආදර්යරත්න
ගව්තම්,සගචිතම්,සගචිතම්
සමන්ත,සමන්ත,සමන්ත
බණ්ඩාර,බණ්ඩාර,බණ්ඩාර
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
පෙරුමබදුගේ,පෙරැමබදුගේ,පෙරැමබදුගේ
ඇඩ්වඩ්,ඇඩ්වඩි,ඇඩ්වඩි
ජස්ලාන්,ජස්ලාන්,ජස්ලාන්
සුජීවා,යසූජ්වා,යසූජ්වා
තුඩුවගේ,නතුඩුවගේ,නතුඩුවගේ
ගුනසුන්දරි,ගුනසුන්දර්,ගුනසුන්දර්
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
සික්කුවා,සිඛ්කුවා,සිඛ්කුවා
තූපෙගේ,ඈතුපෙගේ,ඈතුපෙගේ
අමිර්තලිංගම්,අම්ර්තලිංගම්,අම්ර්තලිංගම්
සුදුහකුරුගේ,සුදුහකුරැගේ,සුදුහකුරැගේ
රෂාන්,රෂාන්,රෂාන්
කන්දසාමි,කන්දසාම්,කන්දසාම්
සඳුන්,සදුන්,සදුන්
ගයනි,ගයනි,ගයනි
මුනසිංහ,මුනසිංහ,මුනසිංහ
බංඩාර,බංඩාර,බංඩාර
ගාමිණි,ගාමිණි,ගාමිණි
ලක්මාල්,ඞඉලක්මාල්,ඞඉලක්මාල්
චමින්ද,ඞචම්න්ද,ඞචම්න්ද
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
ගෙදර,ගෙදර,ගෙදර
බදුරු,බදුරු,බදුරු
ජයමලර්,ජයමලර්,ජයමලර්
ශිල්පගේ,ඞඈශෂිල්පගේ,ඞඈශෂිල්පගේ
සෙල්වරාජ්,සසල්වරාජ්,සසල්වරාජ්
දේවගේ,දේවගේ,දේවගේ
සෙපරමාදු,සෙපරමාදු,සෙපරමාදු
දිසානායක,දිසානායක,දිසානායක
හේරත්,ඞහේරත්,ඞහේරත්
ප්‍රදීපා,ප්‍රදීපා,ප්‍රදීපා
ලසන්ත,ලසන්ත,ලසන්ත
මුහම්මදු,මුහම්මලදු,මුහම්මලදු
ගෙදර,ඬඞගෙදර,ඬඞගෙදර
මින්නාස්,මෝන්නාස්,මෝන්නාස්
මුදියන්සෙලාගේ,මුද්‍රියන්සෙලාගේ,මුද්‍රියන්සෙලාගේ
හීරළු,භිරව්,භිරව්
කයිනාවල,කයිනාවල,කයිනාවල
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
සමරකෝන්,සමරකෝන්,සමරකෝන්
හේවාගේ,ඞහේවාගේ,ඞහේවාගේ
පෙරේරා,ඞසපෙරේරාං,ඞසපෙරේරාං
ළහිරු,ඞළෆනිරු,ඞළෆනිරු
උම්මුල්,උම්මුල්,උම්මුල්
අසෝදම්මා,අසෝදම්මා,අසෝදම්මා
පැටිකිරි,පැටිකිර්,පැටිකිර්
ගුණරත්න,ගුණරත්න,ගුණරත්න
